n,q,name,space,sum,time
1000000,2000000,"Block<512>",172000,13601555051538329949,106.527479
1000000,2000000,"PrecomputeBlock<4>",52000096,13601555051538329949,10.389396
1000000,2000000,"PrecomputeBlock<64>",17750096,13601555051538329949,6.3326875
1000000,2000000,"PrecomputeBlock<512>",16172048,13601555051538329949,8.317479
1000000,2000000,"CartesianTree<6>",24669605,13601555051538329949,13.429854
1000000,2000000,"CartesianTree<8>",17551468,13601555051538329949,11.021604
1000000,2000000,"CartesianTree<16>",16657888,13601555051538329949,19.6755625
1000000,2000000,"CartesianTree<32>",20375096,13601555051538329949,20.412521
3000000,2000000,"SparseTable",528000032,5965710521112128322,10.790292
3000000,2000000,"SegmentTree",48000032,5965710521112128322,133.5079795
3000000,2000000,"Block<4>",120000048,5965710521112128322,22.715104
3000000,2000000,"Block<64>",6000048,5965710521112128322,50.4725835
3000000,2000000,"Block<512>",609488,5965710521112128322,207.8907295
3000000,2000000,"PrecomputeBlock<4>",168000096,5965710521112128322,13.9388125
3000000,2000000,"PrecomputeBlock<64>",54000096,5965710521112128322,11.928125
3000000,2000000,"PrecomputeBlock<512>",48609536,5965710521112128322,11.2193125
3000000,2000000,"CartesianTree<6>",78002868,5965710521112128322,23.0527915
3000000,2000000,"CartesianTree<8>",58551576,5965710521112128322,21.5281455
3000000,2000000,"CartesianTree<16>",52454224,5965710521112128322,35.126625
3000000,2000000,"CartesianTree<32>",62625096,5965710521112128322,34.956104
10000000,2000000,"SparseTable",1920000032,13167953467119810824,20.7589375
10000000,2000000,"SegmentTree",160000032,13167953467119810824,180.072083
10000000,2000000,"Block<4>",440000048,13167953467119810824,26.6239165
10000000,2000000,"Block<64>",22500048,13167953467119810824,90.1129795
10000000,2000000,"Block<512>",2343888,13167953467119810824,377.180625
10000000,2000000,"PrecomputeBlock<4>",600000096,13167953467119810824,19.207875
10000000,2000000,"PrecomputeBlock<64>",182500096,13167953467119810824,14.77925
10000000,2000000,"PrecomputeBlock<512>",162343936,13167953467119810824,13.33025
10000000,2000000,"CartesianTree<6>",286669613,13167953467119810824,32.2730415
10000000,2000000,"CartesianTree<8>",215051576,13167953467119810824,29.6054165
10000000,2000000,"CartesianTree<16>",179595504,13167953467119810824,44.546833
10000000,2000000,"CartesianTree<32>",213750096,13167953467119810824,47.8978125
